999 109333064
525112212 right 134815449
750913217 left 463873666
750913217 right 388925119
463873666 left 835436450
463873666 right 836295303
835436450 left 667244759
835436450 right 514506806
836295303 right 561869586
561869586 left 988478203
561869586 right 538905859
988478203 right 952495028
538905859 left 242969149
538905859 right 714787599
388925119 left 468371175
388925119 right 869189570
869189570 right 465901720
655200792 left 59712849
655200792 right 810626066
59712849 right 483577552
810626066 left 768181205
810626066 right 177196530
456134008 right 377452850
377452850 right 36400442
909578664 left 412325448
909578664 right 646250558
412325448 right 403281409
403281409 right 549554650
646250558 right 386745385
386745385 left 585229776
386745385 right 892625861
892625861 right 970240029
970240029 left 817523260
970240029 right 813770314
813770314 right 877236109
527093177 left 66411600
527093177 right 375085133
66411600 left 403324572
66411600 right 604064661
403324572 left 401247349
403324572 right 910259423
401247349 right 411462402
411462402 left 542872439
411462402 right 645679480
542872439 left 199342094
542872439 right 748896744
199342094 right 293445659
748896744 left 764297102
748896744 right 67170956
764297102 left 969670123
764297102 right 397131344
969670123 left 651989131
969670123 right 450985121
397131344 right 757920820
67170956 right 963051479
963051479 left 342661008
963051479 right 899467068
342661008 right 337301946
899467068 left 740626518
899467068 right 153230769
153230769 left 576256373
153230769 right 62754742
576256373 right 916792731
916792731 right 438505156
62754742 right 556551700
645679480 right 459274301
459274301 right 467865956
910259423 left 520696595
910259423 right 973700352
520696595 left 994689289
520696595 right 799878700
994689289 right 759239736
759239736 left 791612707
759239736 right 954417096
954417096 left 753806325
954417096 right 948494168
753806325 left 853884164
753806325 right 574573875
799878700 left 933361824
799878700 right 368311382
933361824 left 780557994
933361824 right 385503517
780557994 right 342429876
368311382 left 844777818
368311382 right 46182019
46182019 right 607553593
973700352 left 42231483
973700352 right 801471219
42231483 right 968389642
801471219 left 612518701
801471219 right 608404668
608404668 left 496950142
608404668 right 131941617
496950142 left 21039934
496950142 right 456651011
21039934 left 174436470
21039934 right 766299730
174436470 left 822050454
174436470 right 974315170
974315170 right 392370058
766299730 left 4319599
766299730 right 849097418
4319599 right 304198230
849097418 left 903334365
849097418 right 305724913
131941617 left 44125427
131941617 right 107114519
44125427 right 363970702
363970702 right 845596646
107114519 right 306517666
604064661 left 885388658
604064661 right 551474954
885388658 left 795759321
885388658 right 782538556
782538556 left 770074491
782538556 right 478823839
478823839 left 388890573
478823839 right 370055350
370055350 left 281968157
370055350 right 37818874
281968157 left 629598243
281968157 right 94823943
551474954 left 919781126
551474954 right 652513624
919781126 left 83838245
919781126 right 552529773
83838245 left 872628737
83838245 right 781951243
781951243 left 165010431
781951243 right 358067434
165010431 right 154860126
154860126 right 709791761
709791761 right 40248785
358067434 left 600204250
358067434 right 276261451
552529773 right 369548850
369548850 left 977656992
369548850 right 459771588
977656992 right 615275375
459771588 left 702603084
459771588 right 742315902
702603084 right 100127448
742315902 left 19908574
742315902 right 678670499
678670499 left 13395396
678670499 right 401607004
13395396 right 35565066
35565066 right 30922179
652513624 left 230673978
652513624 right 469018385
230673978 left 321982551
230673978 right 139981406
321982551 left 275014322
321982551 right 766224053
275014322 left 235924353
275014322 right 672189679
235924353 right 882615965
139981406 left 25077249
139981406 right 121859198
25077249 left 133611346
25077249 right 925732003
133611346 right 964171350
964171350 left 145113272
964171350 right 890166936
145113272 right 919670833
890166936 right 785582581
925732003 right 816504761
469018385 left 199347526
469018385 right 742785578
199347526 right 467771256
742785578 right 118666459
118666459 right 235103727
235103727 right 884890512
375085133 left 215784454
375085133 right 123191264
215784454 left 302026473
215784454 right 268644440
302026473 left 41853560
302026473 right 599623327
41853560 left 486102425
41853560 right 290100525
486102425 right 814040746
599623327 left 10352719
599623327 right 154517716
123191264 left 70502585
123191264 right 600934880
70502585 left 57950433
70502585 right 475930836
57950433 left 205280896
57950433 right 434077276
205280896 right 323947355
323947355 right 128793580
128793580 left 469361112
128793580 right 377252994
469361112 right 356395065
434077276 right 679279467
475930836 left 709749540
475930836 right 142487934
142487934 right 593539210
593539210 left 742111262
593539210 right 748056926
748056926 right 847447406
600934880 left 46303333
600934880 right 312137677
46303333 left 658885313
46303333 right 101242148
312137677 left 575531585
312137677 right 693418266
575531585 left 123725581
575531585 right 745298264
123725581 left 784369453
123725581 right 480120647
480120647 right 14138799
693418266 right 623949336
255684158 left 385133046
255684158 right 220505989
385133046 left 582242042
385133046 right 818217118
582242042 right 970769712
970769712 right 182815321
818217118 left 296483946
818217118 right 340692969
296483946 left 952883197
296483946 right 907934467
952883197 left 689925610
952883197 right 684857612
689925610 right 204467427
684857612 left 779999013
684857612 right 661099545
661099545 right 770967572
770967572 right 431023617
907934467 right 992731524
992731524 left 3095931
992731524 right 833950709
833950709 right 240745329
220505989 left 451524424
220505989 right 542605804
451524424 left 982196152
451524424 right 423395966
982196152 right 210620640
423395966 left 20424614
423395966 right 474746702
20424614 left 220487617
20424614 right 851262778
220487617 right 140447903
851262778 right 164311438
474746702 left 553427769
474746702 right 384381075
553427769 left 530386004
553427769 right 235362403
530386004 left 921594733
530386004 right 162340062
921594733 right 763028398
162340062 right 103721367
235362403 left 267700401
235362403 right 151417459
151417459 right 158614348
158614348 right 673292520
673292520 right 322118186
542605804 left 524828978
542605804 right 395608786
395608786 left 306653781
395608786 right 319651714
306653781 left 850838458
306653781 right 88176820
850838458 left 71440708
850838458 right 383200566
71440708 right 546883701
88176820 left 157311652
88176820 right 217371463
319651714 left 555014118
319651714 right 217015010
555014118 right 706431577
706431577 right 691206138
217015010 right 388616174
856145460 left 832114443
856145460 right 729286738
832114443 left 31863469
832114443 right 709932060
31863469 left 10174287
31863469 right 582848454
10174287 left 911561010
10174287 right 310961063
911561010 right 474876051
310961063 left 75660181
310961063 right 293031644
75660181 right 251654235
293031644 left 40072688
293031644 right 674964815
40072688 right 466640827
582848454 left 599156549
582848454 right 657967178
599156549 left 76939125
599156549 right 108473528
76939125 left 890478969
76939125 right 706080768
890478969 left 384224590
890478969 right 674217299
674217299 right 68855386
706080768 right 129577938
108473528 left 713404217
108473528 right 204616364
713404217 right 729790645
657967178 left 144418161
657967178 right 392792532
144418161 left 23861835
144418161 right 779577656
23861835 left 184490849
23861835 right 270156002
779577656 left 786128743
779577656 right 501428960
786128743 left 636054251
786128743 right 903976703
636054251 left 593434521
636054251 right 191897436
593434521 left 99808811
593434521 right 585149936
99808811 left 168664197
99808811 right 611863992
611863992 right 298242135
191897436 right 302644517
302644517 left 249030152
302644517 right 960611696
960611696 right 719485853
719485853 right 764126871
903976703 left 133021940
903976703 right 288119473
133021940 left 536070711
133021940 right 119729749
119729749 right 842168600
842168600 right 608300352
288119473 right 258903718
258903718 right 158773036
158773036 right 357513491
357513491 left 309531524
357513491 right 43191778
501428960 left 233011881
501428960 right 46139929
233011881 right 750459112
46139929 right 488815829
488815829 right 662783152
392792532 left 875493446
392792532 right 476920178
875493446 left 614488015
875493446 right 189039323
614488015 left 103579050
614488015 right 744776089
103579050 left 456656615
103579050 right 456039899
189039323 right 461721649
461721649 left 546552814
461721649 right 452292477
476920178 right 806237789
709932060 left 468505686
709932060 right 287958239
468505686 left 717489468
468505686 right 202630400
717489468 left 957321516
717489468 right 271371494
202630400 right 820953871
287958239 left 87589046
287958239 right 194516005
87589046 left 491750220
87589046 right 182153677
491750220 left 341907295
491750220 right 579647343
341907295 left 65456040
341907295 right 987332498
65456040 left 60733345
65456040 right 244883370
60733345 left 523248533
60733345 right 178907676
523248533 left 168711
523248533 right 610960011
168711 left 568946945
168711 right 37452632
568946945 right 562617123
37452632 right 150999036
150999036 right 994774148
610960011 right 798930784
798930784 right 256521773
256521773 right 834641104
178907676 left 195560275
178907676 right 348109286
195560275 left 120960458
195560275 right 719015940
120960458 right 181693803
181693803 left 758521538
181693803 right 547235977
547235977 right 628292773
719015940 right 300009156
300009156 left 87208703
300009156 right 53015975
348109286 left 316672821
348109286 right 168852170
316672821 left 18351000
316672821 right 426847574
18351000 left 573194594
18351000 right 253089148
426847574 right 195375360
195375360 right 474924202
168852170 left 341820687
168852170 right 9332908
341820687 left 479625823
341820687 right 157674667
479625823 right 897781950
897781950 right 127522397
127522397 right 469314242
244883370 right 72847943
72847943 right 179382573
987332498 right 163802677
182153677 left 658869690
182153677 right 831248098
658869690 left 284722216
658869690 right 538768502
284722216 left 369916332
284722216 right 489427411
369916332 right 759646418
831248098 left 812892877
831248098 right 803231151
812892877 left 492129130
812892877 right 433314819
492129130 right 619615858
619615858 right 931002493
931002493 left 583283123
931002493 right 386435866
583283123 left 691297649
583283123 right 954272171
691297649 right 656131066
954272171 right 495979917
386435866 right 258773847
258773847 right 244310508
433314819 right 529032724
803231151 right 288679142
194516005 left 529721228
194516005 right 21814689
529721228 right 936346833
21814689 left 60683252
21814689 right 461264068
60683252 left 242435689
60683252 right 932905455
242435689 left 122895665
242435689 right 814193314
122895665 left 825718812
122895665 right 872604313
932905455 left 682862500
932905455 right 850285812
682862500 left 9525625
682862500 right 437139311
437139311 right 268299473
850285812 left 633277288
850285812 right 396418979
633277288 left 357361795
633277288 right 52771958
357361795 right 774472782
396418979 left 340740986
396418979 right 716685343
340740986 left 456824227
340740986 right 744457657
456824227 right 621733302
716685343 right 73666791
73666791 right 394920507
729286738 left 361358296
729286738 right 906184712
361358296 left 256211500
361358296 right 139428800
256211500 left 701804901
256211500 right 315267638
701804901 left 178053269
701804901 right 506799095
178053269 right 226125265
226125265 left 663846909
226125265 right 583487060
583487060 left 438319692
583487060 right 987881213
987881213 left 99203741
987881213 right 556027969
99203741 left 181138551
99203741 right 371029428
506799095 left 556663191
506799095 right 373340987
556663191 left 766994055
556663191 right 682200641
766994055 left 320842345
766994055 right 348797146
682200641 right 613462736
315267638 left 786578966
315267638 right 189928248
786578966 left 450425876
786578966 right 506016435
450425876 left 559980638
450425876 right 537643436
559980638 left 995491151
559980638 right 911346541
995491151 left 428516943
995491151 right 10038309
428516943 left 581516754
428516943 right 236904959
581516754 left 652062723
581516754 right 650722862
10038309 right 176729351
176729351 left 590504196
176729351 right 375972563
911346541 left 724769709
911346541 right 446063534
446063534 right 190748797
506016435 left 841168198
506016435 right 405195591
841168198 left 78407491
841168198 right 144110426
144110426 left 409704439
144110426 right 824485965
405195591 left 77380521
405195591 right 352406836
352406836 left 818468364
352406836 right 398311848
818468364 left 895802235
818468364 right 169237060
895802235 left 504780742
895802235 right 503122076
504780742 left 456188556
504780742 right 474448857
456188556 left 514953191
456188556 right 531771992
514953191 right 367535097
531771992 left 501304516
531771992 right 209943530
501304516 right 868187864
474448857 left 347949234
474448857 right 887728971
347949234 left 591355187
347949234 right 228831695
591355187 right 753144825
887728971 left 428745545
887728971 right 783531206
783531206 left 826882070
783531206 right 874097958
826882070 right 187576650
187576650 right 135586978
503122076 right 37170028
169237060 left 538474544
169237060 right 8749966
398311848 left 451813690
398311848 right 248235066
451813690 left 336556642
451813690 right 10312883
10312883 right 844593528
844593528 right 290167053
290167053 right 73425223
248235066 left 640690797
248235066 right 548063869
640690797 left 597201752
640690797 right 888831200
597201752 right 360487219
548063869 left 317160715
548063869 right 380056606
317160715 right 103110062
189928248 left 892805288
189928248 right 118689138
892805288 left 291751294
892805288 right 703098127
291751294 left 417371711
291751294 right 881049168
417371711 left 596081337
417371711 right 606394220
606394220 right 807623944
807623944 left 60578643
807623944 right 454863060
703098127 left 765731045
703098127 right 482424900
765731045 left 144437819
765731045 right 526798486
144437819 right 506394808
526798486 right 383329339
482424900 left 258992034
482424900 right 723547715
258992034 left 672353148
258992034 right 17712316
723547715 left 295430810
723547715 right 189329544
295430810 left 905544947
295430810 right 98278135
905544947 left 923104589
905544947 right 364455520
364455520 right 764090139
764090139 right 395180008
395180008 right 497655659
98278135 left 44891725
98278135 right 315805456
189329544 right 222236552
222236552 left 821338558
222236552 right 156279811
821338558 right 605565891
156279811 left 940483446
156279811 right 404697026
940483446 left 828632959
940483446 right 239180505
404697026 right 240227931
240227931 right 306705415
306705415 right 354598999
354598999 right 671160935
118689138 left 351345828
118689138 right 165465708
351345828 left 616344797
351345828 right 449623964
449623964 right 661236522
165465708 left 109131390
165465708 right 67252693
109131390 left 387702260
109131390 right 930469948
930469948 right 993268152
67252693 left 767899071
67252693 right 25112449
767899071 left 306433198
767899071 right 899200869
139428800 left 14299080
139428800 right 864328346
14299080 left 777844253
14299080 right 390084352
777844253 left 111443492
777844253 right 365394540
111443492 left 896533391
111443492 right 486687818
365394540 left 764929637
365394540 right 83651154
764929637 left 947548645
764929637 right 928579028
947548645 left 582229833
947548645 right 839666335
582229833 right 170613957
839666335 right 16398461
83651154 right 882982777
390084352 left 424460319
390084352 right 413454923
424460319 left 774128799
424460319 right 534279566
774128799 left 781922823
774128799 right 906404061
781922823 right 502469818
502469818 left 227115921
502469818 right 592510461
227115921 right 989157636
592510461 right 973601626
973601626 left 324174228
973601626 right 774696312
906404061 left 779643632
906404061 right 972357294
779643632 left 376075387
779643632 right 337657295
376075387 left 796042094
376075387 right 7524186
7524186 right 732209600
972357294 right 72488323
72488323 left 384070653
72488323 right 862136831
384070653 right 36981773
862136831 right 89252753
89252753 right 381125579
534279566 left 14114255
534279566 right 55420328
14114255 left 858453794
14114255 right 623143930
623143930 left 666862259
623143930 right 831301961
666862259 left 290953346
666862259 right 607317021
290953346 left 51346009
290953346 right 505518243
51346009 left 50461832
51346009 right 593119224
50461832 right 309850240
309850240 left 758365914
309850240 right 993698967
993698967 right 359677603
359677603 right 377769620
593119224 left 112320306
593119224 right 715955123
112320306 right 181675557
181675557 right 493445886
715955123 left 627070397
715955123 right 102730680
627070397 right 426925270
102730680 right 44299478
505518243 left 247004949
505518243 right 45452565
247004949 right 933397041
933397041 right 297466781
607317021 left 803818480
607317021 right 453532341
453532341 right 339705421
831301961 left 435186892
831301961 right 473102898
435186892 right 24894443
24894443 left 860146756
24894443 right 957916674
473102898 left 72575814
473102898 right 953313420
72575814 right 952689648
55420328 right 997612898
413454923 left 208336759
413454923 right 358319893
208336759 right 822835527
358319893 right 840494022
840494022 right 524622924
524622924 right 322884086
864328346 left 776902482
864328346 right 881202779
776902482 left 879228686
776902482 right 216049863
879228686 left 312801755
879228686 right 25169958
312801755 right 689661713
216049863 left 591110653
216049863 right 668858441
591110653 right 707526631
707526631 right 646530981
668858441 right 729711552
881202779 left 88031445
881202779 right 603625876
906184712 left 897097240
906184712 right 12321506
897097240 left 845093498
897097240 right 345541033
845093498 left 133374240
845093498 right 493264362
133374240 left 514703993
133374240 right 57037407
514703993 left 865119279
514703993 right 827505748
827505748 left 554780992
827505748 right 465926753
465926753 right 623347207
57037407 left 645226842
57037407 right 556084740
556084740 right 480642765
480642765 left 427143038
480642765 right 150902115
427143038 left 210354318
427143038 right 203924780
150902115 left 882558971
150902115 right 632172563
882558971 right 57086827
632172563 left 87473499
632172563 right 694221558
694221558 right 960437992
960437992 left 61441903
960437992 right 89263603
493264362 left 354874404
493264362 right 820512904
354874404 right 642484161
642484161 left 264428163
642484161 right 614354763
820512904 right 934911251
934911251 right 289099901
345541033 left 148684037
345541033 right 646440203
148684037 left 5608042
148684037 right 454671022
646440203 left 293244363
646440203 right 305091825
293244363 left 984882214
293244363 right 366608455
366608455 right 945320207
305091825 left 583971050
305091825 right 277842982
277842982 left 767484109
277842982 right 17919127
767484109 left 772843495
767484109 right 234355225
234355225 right 876302874
876302874 left 365945715
876302874 right 14539585
12321506 left 496791295
12321506 right 985893260
496791295 left 161005543
496791295 right 951462318
951462318 left 868024757
951462318 right 293562874
868024757 right 512537123
512537123 left 524403752
512537123 right 71943503
524403752 right 879145578
71943503 left 390360045
71943503 right 299792711
390360045 right 835109944
835109944 right 668203027
293562874 left 355582681
293562874 right 520674856
520674856 right 535214441
535214441 left 685123294
535214441 right 708541491
685123294 right 318297547
318297547 right 34430942
985893260 left 260423211
985893260 right 440371374
260423211 right 729231868
